177;;1;
2069ad;;1;
3takun;;0;
38mankk;;1;
4thunit;;0;
4thunit2;;0;
dualtarg;;0;
zero;;0;
dagain;;0;
aressha2;;0;
aressh2o;;0;
aressha3;;0;
aressha3mc;;0;
aressha3mc1;;0;
aressha3log;;0;
aressha3oms;;0;
aburner2;;0;
acombat2;;0;
airmanag;;0;
ajax;;0;
akiko;;0;
akumajo;;1;
akumajod;;0;
alfaim;;0;
algarna;;0;
alice;;0;
alice2;;0;
aliensyn;;1;
abart1;;0;
abart2;;0;
abart3;;0;
abart4;;0;
alshark;;0;
ambiv;;0;
animjv3;;0;
animjv3d;;0;
animjv3da;;0;
animjv3t;;0;
genchohi;;0;
genghis;;0;
aquales;;0;
arcshu;;0;
arcusod;;0;
arcus;;0;
arcus2;;0;
argos;;0;
arknoid2;;0;
votoms;;0;
votomsd;;0;
artemis;;0;
atomrobo;;0;
asuka120;;0;
chelnov;;0;
ayumimon;;0;
baraduke;;0;
barufuku;;0;
btlchess;;0;
btech;;0;
beast;;0;
beast2;;0;
bellaven;;0;
bellavn2;;0;
peachang;;0;
peachangd;;0;
birdywld;;0;
cgdai1;;0;
cgdai2;;0;
bgfxd1;;0;
bgfxd2;;0;
bgfxd3;;0;
bgfxd4;;0;
bgfxd5;;0;
bgfxd6;;0;
bshashms;;0;
blitzkrg;;0;
blodia;;0;
bombermn;;0;
bnzabros;;0;
bonnoyob;;0;
bonnoyo2;;0;
bonnoyo3;;0;
bosco;;0;
branmrkr;;0;
bretonne;;0;
bretsce1;;0;
bretsce2;;0;
bretsce3;;0;
bretscen;;0;
bublbobl;;0;
butasan;;0;
byakuya;;0;
cal;;0;
cal2;;0;
cameltry;;0;
cancanb;;0;
cancanbs;;0;
cancanbp;;0;
cancanbe;;0;
carat;;0;
caroll;;0;
casablan;;0;
castles;;0;
catsp1;;0;
chaossb;;0;
chasehq;;0;
chinmoku;;0;
choubang;;0;
choujin;;0;
choujind;;0;
chukatai;;0;
cinderel;;0;
cockpit;;0;
codezero;;1;wrong scrolling effect for title screen, player explosion looks bad
collectd;;0;
columns;;0;
cntinent;;0;
cospsyco;;0;
cotton;;0;
cclimber;;0;
crescent;;0;
cuarto;;0;
cuberunr;;0;
cybrbloc;;0;
cybrcore;;0;
dodokid1;;0;
dodokid2;;0;
dodokid3;;0;
dodokid4;;0;
dodokid5;;0;
dreturn;;0;
daikokai;;0;
daimakai;;2;CRT Mode 2 causes offsetted sprites
daisenr2;;0;
daisenr3;;0;
daisenr3d;;0;
daisenr3mc1;;0;
daisenr3mc2;;0;
daikaint;;0;
daikains;;0;
dalk;;0;
darwin;;0;
dashyar;;0;
kyoko;;0;
deja;;0;
deadbrn;;0;
deathbra;;0;
dbringer;;0;
deflektr;;1;
cybwrite;;0;
cybwrites1;;0;
dtwinbee;;0;
dtwinbeed;;0;
diebahn;;0;
digdug;;0;
dinoland;;0;
dios;;0;
dokicard;;0;
dome;;0;
albion;;0;
dor;;0;
dor2;;0;
dor3;;0;
dorse93;;0;
dorsesak;;0;
dbleagle;;0;
dokyusei;;0;
downtown;;0;
drstop;;0;
drachaku;;0;
dragon;;0;
dbuster;;0;
drgcityx;;0;
drageyes;;0;
dknight;;0;
dknight2;;0;
dknight3;;0;
dknight4;;0;
dslayed;;0;
dspirit;;0;
drgnwars;;0;
drgstrik;;0;
drakkhen;;0;
dngmster;;0;
dynduke;;0;
eikan;;0;
elle;;0;
emerald;;0;
emeraldd;;0;
emperor;;0;
entfuhr;;0;
etoile;;0;
eurosens;;0;
evilstn;;0;
evilstnk;;0;
excthour;;0;
exon;;0;
exterlin;;0;
f15se2;;0;
flstory;;0;
fairytk;;0;
fantzone;;0;
farside;;0;
ffight;;0;
fqueen2;;0;
flappy2;;0;
foxy2;;0;
fruitfld;;0;
fss;;0;
fullthrt;;0;
fushikab;;0;
nadia;;0;
nadiamfd;;0;
futwars;;0;
fzsenki;;0;
gr;;0;
gakubomb;;0;
galaga88;;0;
gamejang;;0;
gammapl;;0;
garou;;0;
garou2;;0;
garousp;;0;
gaudi;;0;
gemini;;0;
genjuki;;0;
genocide;;0;
genocid2;;0;
genocid2d;;0;
genpei;;0;
geoseal;;0;
geoseald;;0;
gingaed;;0;
gingaed2;;0;
ginga2dx;;0;
gingpow;;0;
girlpara;;0;
gizexix;;0;
gokichi;;0;
gorakuin;;0;
gradius;;0;
gradius2;;0;
gramcat2;;0;
granada;;0;
granadad;;0;
grandifl;;0;
grndmast;;0;
groupx;;0;
glyeward;;0;
gunship;;0;
ayayo;;0;
ayayo2;;0;
ayayo3;;0;
hanayori;;0;
hanayor2;;0;
hanahour;;0;
hanateng;;0;
haresawa;;0;
heavynov;;0;
himihana;;0;
fshark;;0;
fsharkd;;0;
elthlead;;0;
hoshisun;;0;
hoshisu2;;0;
hotelwar;;0;
hhunt1;;0;
hhunt2;;0;
hhunt3;;0;
hhunt6;;0;
hhunt11;;0;
manyrobo;;0;
hydlide3;;0;
illumina;;0;
illcity;;0;
image;;0;
imagefig;;0;
imitatn;;0;
imperial;;0;
inindo;;0;
irohanih;;0;
ishido;;0;
ishinara;;0;
kissmurd;;0;
murdcldx;;0;
manhatrq;;0;
nicklaus;;0;
nicklausc1;;0;
nicklausc2;;0;
janjaka;;0;
jane;;0;
jangou1;;0;
jangou2;;0;
janshqst;;0;
janshqstd;;0;
jesus2;;0;
billiard;;0;
joker;;0;
joker2;;0;
joshidol;;0;
joshua;;0;
kaerimic;;0;
kareinar;;0;
kawaichi;;0;
keeper;;0;
kensoson;;0;
kerakera;;0;
kibunpas;;0;
sap2;;0;
kikoshid;;0;
kikoshidd;;0;
kimidake;;0;
chicago;;0;
kitahei;;0;
kiwame;;0;
klax;;0;
knghtarm;;0;
knghtarmd;;0;
kohakuir;;0;
powermj2;;0;
koberenm;;0;
noriko;;0;
kouryuuk;;0;
ku2;;0;
ku2fr;;0;
kurukaji;;0;
kudokika;;0;
kudokik2;;0;
ktiger;;0;
lagoon;;0;
lammal;;0;
laplace;;0;
lasvegas;;0;
lastarmg;;0;
lastbat;;0;
lastbatd;;0;
leadingc;;0;
lemmings;;0;
lenam;;0;
libbler;;0;
libido7;;0;
lifendth;;0;
lightbac;;0;
lipsadv;;0;
lipsadv3;;0;
lipsadv2;;0;
lodossfk;;0;
lodoss;;0;
lodoss2;;0;
ldb_x68k;;0;
looperas;;0;
loopz;;0;
lovelyho;;0;
lua;;0;
lucyshot;;0;
madstlkr;;0;
magshot;;0;
mjclinic;;0;
mjfantas;;0;
mjkyojs;;0;
mjmaster;;0;
mjsaikyo;;0;
mjyuench;;0;
mahoudai;;0;
mai;;0;
